Filename,Date,Time,Filesize
stundenwerte_CS_00003_19500401_20110401_hist.zip,15-May-2025,16:15:07,5989135
stundenwerte_CS_00044_19790101_20241231_hist.zip,15-May-2025,16:15:30,681725
stundenwerte_CS_00071_20041022_20200101_hist.zip,15-May-2025,16:15:04,12636
stundenwerte_CS_00073_20070401_20241231_hist.zip,15-May-2025,16:15:15,22553
stundenwerte_CS_00078_20041101_20241231_hist.zip,15-May-2025,16:15:30,31564
stundenwerte_CS_00091_20040901_20241231_hist.zip,15-May-2025,16:15:29,31586
stundenwerte_CS_00096_20190409_20241231_hist.zip,15-May-2025,16:15:28,1094237
stundenwerte_CS_00098_19490101_19541206_hist.zip,15-May-2025,16:15:07,251214
stundenwerte_CS_00102_19790101_20241231_hist.zip,15-May-2025,16:15:30,11622
stundenwerte_CS_00125_19930301_20241231_hist.zip,15-May-2025,16:15:15,4253896
stundenwerte_CS_00131_20041101_20241231_hist.zip,15-May-2025,16:15:32,29789
stundenwerte_CS_00142_20051201_20241231_hist.zip,15-May-2025,16:15:15,25852
stundenwerte_CS_00150_20050701_20241231_hist.zip,15-May-2025,16:15:30,28502
stundenwerte_CS_00151_20050301_20241231_hist.zip,15-May-2025,16:15:15,29773
stundenwerte_CS_00154_20050301_20241231_hist.zip,15-May-2025,16:15:15,29847
stundenwerte_CS_00161_20110901_20241231_hist.zip,15-May-2025,16:15:30,2840288
stundenwerte_CS_00164_19750701_20241231_hist.zip,15-May-2025,16:15:28,5534951
stundenwerte_CS_00167_20040901_20241231_hist.zip,15-May-2025,16:15:29,32355
stundenwerte_CS_00175_19511101_19760430_hist.zip,15-May-2025,16:15:05,1153011
stundenwerte_CS_00183_19760401_20241231_hist.zip,15-May-2025,16:15:29,6386522
stundenwerte_CS_00191_20050301_20241231_hist.zip,15-May-2025,16:15:15,29660
stundenwerte_CS_00198_19750701_20241231_hist.zip,15-May-2025,16:15:33,5984213
stundenwerte_CS_00217_20050101_20241231_hist.zip,15-May-2025,16:15:15,31096
stundenwerte_CS_00222_19900611_20241231_hist.zip,15-May-2025,16:15:32,150385
stundenwerte_CS_00232_19490101_20241231_hist.zip,15-May-2025,16:15:15,6969775
stundenwerte_CS_00257_20021101_20241231_hist.zip,15-May-2025,16:15:05,36678
stundenwerte_CS_00259_20040701_20241231_hist.zip,15-May-2025,16:15:05,32774
stundenwerte_CS_00282_19490101_20241231_hist.zip,15-May-2025,16:15:16,6011231
stundenwerte_CS_00294_20040701_20241231_hist.zip,15-May-2025,16:15:30,29046
stundenwerte_CS_00298_19900611_20241231_hist.zip,15-May-2025,16:15:29,3010248
stundenwerte_CS_00303_19930901_20241231_hist.zip,15-May-2025,16:15:28,5333874
stundenwerte_CS_00305_19911104_19960110_hist.zip,15-May-2025,16:15:06,339625
stundenwerte_CS_00314_20040501_20241231_hist.zip,15-May-2025,16:15:32,31975
stundenwerte_CS_00320_20060701_20241231_hist.zip,15-May-2025,16:15:16,23908
stundenwerte_CS_00326_20040701_20130708_hist.zip,15-May-2025,16:15:07,31539
stundenwerte_CS_00330_20040801_20241231_hist.zip,15-May-2025,16:15:29,32542
stundenwerte_CS_00342_20101201_20241231_hist.zip,15-May-2025,16:15:30,3048178
stundenwerte_CS_00348_19891201_20110902_hist.zip,15-May-2025,16:15:08,1871550
stundenwerte_CS_00361_19490101_19751219_hist.zip,15-May-2025,16:15:05,1094460
stundenwerte_CS_00368_19930301_20241231_hist.zip,15-May-2025,16:15:30,5652823
stundenwerte_CS_00377_20041001_20241231_hist.zip,15-May-2025,16:15:30,31087
stundenwerte_CS_00390_20040701_20241231_hist.zip,15-May-2025,16:15:31,32040
stundenwerte_CS_00399_19900611_20150630_hist.zip,15-May-2025,16:15:06,35498
stundenwerte_CS_00400_20040601_20241231_hist.zip,15-May-2025,16:15:27,31611
stundenwerte_CS_00403_19550101_20241231_hist.zip,15-May-2025,16:15:27,6925609
stundenwerte_CS_00410_20040501_20200616_hist.zip,15-May-2025,16:15:06,31372
stundenwerte_CS_00420_20070801_20241231_hist.zip,15-May-2025,16:15:27,19604
stundenwerte_CS_00427_19750701_20241231_hist.zip,15-May-2025,16:15:28,6769503
stundenwerte_CS_00430_19610102_20210505_hist.zip,15-May-2025,16:15:09,8622174
stundenwerte_CS_00433_19490101_20241231_hist.zip,15-May-2025,16:15:28,8888964
stundenwerte_CS_00445_20050701_20241231_hist.zip,15-May-2025,16:15:32,27743
stundenwerte_CS_00450_20051101_20121204_hist.zip,15-May-2025,16:15:08,27152
stundenwerte_CS_00460_19490101_20241231_hist.zip,15-May-2025,16:15:31,3888390
stundenwerte_CS_00535_20040601_20241231_hist.zip,15-May-2025,16:15:30,32489
stundenwerte_CS_00553_19531222_19740903_hist.zip,15-May-2025,16:15:07,962275
stundenwerte_CS_00554_19490101_20241231_hist.zip,15-May-2025,16:15:29,2393173
stundenwerte_CS_00555_20080101_20241231_hist.zip,15-May-2025,16:15:29,20042
stundenwerte_CS_00591_19750701_20241231_hist.zip,15-May-2025,16:15:30,4540602
stundenwerte_CS_00596_19750701_20241231_hist.zip,15-May-2025,16:15:30,4556051
stundenwerte_CS_00599_19820101_19990302_hist.zip,15-May-2025,16:15:07,45379
stundenwerte_CS_00603_19990303_20241231_hist.zip,15-May-2025,16:15:30,3797785
stundenwerte_CS_00617_20040601_20241231_hist.zip,15-May-2025,16:15:30,32480
stundenwerte_CS_00620_19790103_19880715_hist.zip,15-May-2025,16:15:06,96038
stundenwerte_CS_00649_19911101_19941001_hist.zip,15-May-2025,16:15:06,376593
stundenwerte_CS_00656_19490101_20241231_hist.zip,15-May-2025,16:15:31,4228653
stundenwerte_CS_00662_19501001_20241231_hist.zip,15-May-2025,16:15:31,6248971
stundenwerte_CS_00685_19790101_20061102_hist.zip,15-May-2025,16:15:16,8428
stundenwerte_CS_00691_19490101_20241231_hist.zip,15-May-2025,16:15:29,11757807
stundenwerte_CS_00701_19490101_20241231_hist.zip,15-May-2025,16:15:29,6396396
stundenwerte_CS_00704_19900403_20241231_hist.zip,15-May-2025,16:15:31,5076188
stundenwerte_CS_00706_19790101_19920630_hist.zip,15-May-2025,16:15:04,90685
stundenwerte_CS_00722_19750701_20241231_hist.zip,15-May-2025,16:15:32,5104425
stundenwerte_CS_00755_20040601_20241231_hist.zip,15-May-2025,16:15:05,32784
stundenwerte_CS_00757_20040601_20241231_hist.zip,15-May-2025,16:15:05,33011
stundenwerte_CS_00766_19790101_20241231_hist.zip,15-May-2025,16:15:30,5202306
stundenwerte_CS_00769_19910329_20241231_hist.zip,15-May-2025,16:15:29,6107527
stundenwerte_CS_00785_19790101_19861031_hist.zip,15-May-2025,16:15:08,5487
stundenwerte_CS_00817_20050201_20241231_hist.zip,15-May-2025,16:15:29,30596
stundenwerte_CS_00840_19900611_20241231_hist.zip,15-May-2025,16:15:32,1781115
stundenwerte_CS_00850_19921128_20241231_hist.zip,15-May-2025,16:15:30,6075610
stundenwerte_CS_00853_19750701_20241231_hist.zip,15-May-2025,16:15:32,6457240
stundenwerte_CS_00856_19790101_20241231_hist.zip,15-May-2025,16:15:16,4943344
stundenwerte_CS_00863_20071001_20120405_hist.zip,15-May-2025,16:15:06,17465
stundenwerte_CS_00867_19490101_20241231_hist.zip,15-May-2025,16:15:16,4694242
stundenwerte_CS_00876_19750701_19901231_hist.zip,15-May-2025,16:15:08,186781
stundenwerte_CS_00879_19790101_20030611_hist.zip,15-May-2025,16:15:06,1961666
stundenwerte_CS_00880_19830103_20241231_hist.zip,15-May-2025,16:15:28,5593160
stundenwerte_CS_00891_19490101_20241231_hist.zip,15-May-2025,16:15:30,7712824
stundenwerte_CS_00896_20040801_20241231_hist.zip,15-May-2025,16:15:33,30577
stundenwerte_CS_00917_20040901_20241231_hist.zip,15-May-2025,16:15:29,31430
stundenwerte_CS_00920_19490101_19870929_hist.zip,15-May-2025,16:15:06,948709
stundenwerte_CS_00953_19500701_20241231_hist.zip,15-May-2025,16:15:30,3705672
stundenwerte_CS_00954_19790101_20241231_hist.zip,15-May-2025,16:15:29,77740
stundenwerte_CS_00963_19901205_20241231_hist.zip,15-May-2025,16:15:30,5312307
stundenwerte_CS_00979_20040901_20230313_hist.zip,15-May-2025,16:15:09,31409
stundenwerte_CS_00983_20061201_20241231_hist.zip,15-May-2025,16:15:16,22452
stundenwerte_CS_00991_20050201_20241231_hist.zip,15-May-2025,16:15:31,30241
stundenwerte_CS_01001_19750701_20241231_hist.zip,15-May-2025,16:15:28,2946411
stundenwerte_CS_01048_19750701_20241231_hist.zip,15-May-2025,16:15:31,7087150
stundenwerte_CS_01050_20060401_20241231_hist.zip,15-May-2025,16:15:31,24866
stundenwerte_CS_01051_20070301_20241231_hist.zip,15-May-2025,16:15:31,22864
stundenwerte_CS_01052_20040701_20241231_hist.zip,15-May-2025,16:15:32,31187
stundenwerte_CS_01072_20040601_20241231_hist.zip,15-May-2025,16:15:30,33772
stundenwerte_CS_01078_19490501_20241231_hist.zip,15-May-2025,16:15:31,12113749
stundenwerte_CS_01103_20061001_20241231_hist.zip,15-May-2025,16:15:16,24221
stundenwerte_CS_01107_20041201_20241231_hist.zip,15-May-2025,16:15:16,30897
stundenwerte_CS_01130_19790101_20241231_hist.zip,15-May-2025,16:15:31,2170033
stundenwerte_CS_01161_20050201_20241231_hist.zip,15-May-2025,16:15:16,15980
stundenwerte_CS_01185_19790101_20021025_hist.zip,15-May-2025,16:15:06,96968
stundenwerte_CS_01197_20021101_20241231_hist.zip,15-May-2025,16:15:05,38378
stundenwerte_CS_01200_19861101_20241231_hist.zip,15-May-2025,16:15:32,4135688
stundenwerte_CS_01207_20060301_20241231_hist.zip,15-May-2025,16:15:31,26174
stundenwerte_CS_01214_20040801_20241231_hist.zip,15-May-2025,16:15:09,32307
stundenwerte_CS_01219_19490101_19970630_hist.zip,15-May-2025,16:15:06,2100884
stundenwerte_CS_01224_20021201_20241231_hist.zip,15-May-2025,16:15:09,38643
stundenwerte_CS_01228_19880815_20241231_hist.zip,15-May-2025,16:15:29,11085
stundenwerte_CS_01239_20040701_20080923_hist.zip,15-May-2025,16:15:04,16369
stundenwerte_CS_01255_20021201_20241231_hist.zip,15-May-2025,16:15:09,38870
stundenwerte_CS_01260_19490101_19500630_hist.zip,15-May-2025,16:15:08,65205
stundenwerte_CS_01261_19790101_19911113_hist.zip,15-May-2025,16:15:05,54631
stundenwerte_CS_01262_19920517_20241231_hist.zip,15-May-2025,16:15:16,6276545
stundenwerte_CS_01266_20040601_20241231_hist.zip,15-May-2025,16:15:32,31143
stundenwerte_CS_01270_19750701_20241231_hist.zip,15-May-2025,16:15:33,7133407
stundenwerte_CS_01279_20060701_20241231_hist.zip,15-May-2025,16:15:16,23467
stundenwerte_CS_01297_20041001_20241231_hist.zip,15-May-2025,16:15:29,31167
stundenwerte_CS_01300_20040601_20241231_hist.zip,15-May-2025,16:15:31,32410
stundenwerte_CS_01303_19490101_20241231_hist.zip,15-May-2025,16:15:31,6207736
stundenwerte_CS_01327_20040801_20241231_hist.zip,15-May-2025,16:15:31,31377
stundenwerte_CS_01332_20050301_20241231_hist.zip,15-May-2025,16:15:16,30006
stundenwerte_CS_01339_19930301_20241231_hist.zip,15-May-2025,16:15:31,5828428
stundenwerte_CS_01341_19790103_20111102_hist.zip,15-May-2025,16:15:08,54392
stundenwerte_CS_01346_19490101_20241231_hist.zip,15-May-2025,16:15:09,5929810
stundenwerte_CS_01355_19790101_19900206_hist.zip,15-May-2025,16:15:06,32639
stundenwerte_CS_01357_20050301_20241231_hist.zip,15-May-2025,16:15:16,29666
stundenwerte_CS_01358_19750701_20241231_hist.zip,15-May-2025,16:15:32,4362254
stundenwerte_CS_01402_19820401_19930217_hist.zip,15-May-2025,16:15:06,10481
stundenwerte_CS_01411_20070101_20241231_hist.zip,15-May-2025,16:15:33,23607
stundenwerte_CS_01420_19490101_20241231_hist.zip,15-May-2025,16:15:29,11914615
stundenwerte_CS_01426_19750701_19851130_hist.zip,15-May-2025,16:15:06,41462
stundenwerte_CS_01443_19490101_20241231_hist.zip,15-May-2025,16:15:10,5486874
stundenwerte_CS_01451_20040601_20241231_hist.zip,15-May-2025,16:15:31,32081
stundenwerte_CS_01468_19490101_20241231_hist.zip,15-May-2025,16:15:11,6761380
stundenwerte_CS_01473_20060101_20190301_hist.zip,15-May-2025,16:15:05,25461
stundenwerte_CS_01490_19490101_20241231_hist.zip,15-May-2025,16:15:11,1310879
stundenwerte_CS_01503_20121001_20241231_hist.zip,15-May-2025,16:15:31,2640418
stundenwerte_CS_01504_19930301_20241231_hist.zip,15-May-2025,16:15:30,6377852
stundenwerte_CS_01515_19790101_20030731_hist.zip,15-May-2025,16:15:05,1203762
stundenwerte_CS_01526_20041101_20241231_hist.zip,15-May-2025,16:15:30,27719
stundenwerte_CS_01544_19750701_20241231_hist.zip,15-May-2025,16:15:32,3409401
stundenwerte_CS_01550_19490101_20241231_hist.zip,15-May-2025,16:15:17,4669684
stundenwerte_CS_01572_19930215_20241231_hist.zip,15-May-2025,16:15:31,5706269
stundenwerte_CS_01580_19830801_20241231_hist.zip,15-May-2025,16:15:29,3757835
stundenwerte_CS_01584_20090601_20241101_hist.zip,15-May-2025,16:15:11,10339
stundenwerte_CS_01587_19800825_20241231_hist.zip,15-May-2025,16:15:17,4787613
stundenwerte_CS_01590_20030701_20241231_hist.zip,15-May-2025,16:15:31,36511
stundenwerte_CS_01602_20040701_20241231_hist.zip,15-May-2025,16:15:11,31433
stundenwerte_CS_01605_19900612_20241231_hist.zip,15-May-2025,16:15:33,3715707
stundenwerte_CS_01612_19750701_20241231_hist.zip,15-May-2025,16:15:33,5895562
stundenwerte_CS_01639_19490101_20241231_hist.zip,15-May-2025,16:15:29,6108393
stundenwerte_CS_01645_20040501_20241231_hist.zip,15-May-2025,16:15:29,33137
stundenwerte_CS_01666_19790101_20241231_hist.zip,15-May-2025,16:15:32,5102436
stundenwerte_CS_01684_19750701_20241231_hist.zip,15-May-2025,16:15:32,6072391
stundenwerte_CS_01691_19501001_20241231_hist.zip,15-May-2025,16:15:31,7546170
stundenwerte_CS_01694_19900611_20241231_hist.zip,15-May-2025,16:15:30,3932873
stundenwerte_CS_01721_20061001_20241231_hist.zip,15-May-2025,16:15:17,22392
stundenwerte_CS_01735_20050301_20241231_hist.zip,15-May-2025,16:15:17,29816
stundenwerte_CS_01736_20020702_20241231_hist.zip,15-May-2025,16:15:32,39955
stundenwerte_CS_01757_19780101_20241231_hist.zip,15-May-2025,16:15:30,6309171
stundenwerte_CS_01759_20001101_20241231_hist.zip,15-May-2025,16:15:31,5308519
stundenwerte_CS_01766_19891001_20241231_hist.zip,15-May-2025,16:15:32,6906797
stundenwerte_CS_01803_20040901_20241231_hist.zip,15-May-2025,16:15:31,32252
stundenwerte_CS_01832_19821101_20241231_hist.zip,15-May-2025,16:15:17,3925350
stundenwerte_CS_01833_19490101_19821031_hist.zip,15-May-2025,16:15:05,1211175
stundenwerte_CS_01863_20071201_20241231_hist.zip,15-May-2025,16:15:29,18463
stundenwerte_CS_01869_19900611_20241231_hist.zip,15-May-2025,16:15:28,3976688
stundenwerte_CS_01892_19490103_20131028_hist.zip,15-May-2025,16:15:07,3206549
stundenwerte_CS_01957_19911101_20150323_hist.zip,15-May-2025,16:15:08,14995
stundenwerte_CS_01964_20050501_20241231_hist.zip,15-May-2025,16:15:30,28724
stundenwerte_CS_01975_19490101_20241231_hist.zip,15-May-2025,16:15:29,12092640
stundenwerte_CS_01981_20050301_20241231_hist.zip,15-May-2025,16:15:29,28520
stundenwerte_CS_02014_19490101_20241231_hist.zip,15-May-2025,16:15:32,12957514
stundenwerte_CS_02023_19790101_20241231_hist.zip,15-May-2025,16:15:17,5020759
stundenwerte_CS_02039_20061101_20241231_hist.zip,15-May-2025,16:15:32,23841
stundenwerte_CS_02044_19900611_20241231_hist.zip,15-May-2025,16:15:33,2557199
stundenwerte_CS_02074_20040601_20241231_hist.zip,15-May-2025,16:15:11,33261
stundenwerte_CS_02080_20040701_20120912_hist.zip,15-May-2025,16:15:04,31975
stundenwerte_CS_02088_20040601_20050512_hist.zip,15-May-2025,16:15:04,6870
stundenwerte_CS_02110_20030101_20241202_hist.zip,15-May-2025,16:15:32,38298
stundenwerte_CS_02115_19520301_20241231_hist.zip,15-May-2025,16:15:32,7193901
stundenwerte_CS_02167_20050301_20120402_hist.zip,15-May-2025,16:15:08,29724
stundenwerte_CS_02171_19520901_20241231_hist.zip,15-May-2025,16:15:29,5636190
stundenwerte_CS_02174_20101101_20241231_hist.zip,15-May-2025,16:15:32,7674
stundenwerte_CS_02201_20050801_20241231_hist.zip,15-May-2025,16:15:31,28529
stundenwerte_CS_02211_20041001_20241231_hist.zip,15-May-2025,16:15:30,31031
stundenwerte_CS_02252_20050701_20241231_hist.zip,15-May-2025,16:15:32,27271
stundenwerte_CS_02261_19490101_20241231_hist.zip,15-May-2025,16:15:18,7702003
stundenwerte_CS_02290_19490101_20241231_hist.zip,15-May-2025,16:15:18,7266536
stundenwerte_CS_02303_19790101_20241231_hist.zip,15-May-2025,16:15:33,5919410
stundenwerte_CS_02306_20050801_20241231_hist.zip,15-May-2025,16:15:33,27142
stundenwerte_CS_02315_19911101_20241231_hist.zip,15-May-2025,16:15:28,6233896
stundenwerte_CS_02319_20050601_20241231_hist.zip,15-May-2025,16:15:18,27601
stundenwerte_CS_02323_20060701_20241231_hist.zip,15-May-2025,16:15:32,23766
stundenwerte_CS_02338_19790101_20051223_hist.zip,15-May-2025,16:15:07,2602825
stundenwerte_CS_02362_20040801_20241231_hist.zip,15-May-2025,16:15:30,32255
stundenwerte_CS_02374_19490101_19740623_hist.zip,15-May-2025,16:15:08,1056138
stundenwerte_CS_02385_19930301_20241231_hist.zip,15-May-2025,16:15:30,6299823
stundenwerte_CS_02410_19841020_20241231_hist.zip,15-May-2025,16:15:19,4278609
stundenwerte_CS_02429_19930301_20241231_hist.zip,15-May-2025,16:15:33,4459628
stundenwerte_CS_02437_19790101_20241231_hist.zip,15-May-2025,16:15:33,5140909
stundenwerte_CS_02444_20040801_20241231_hist.zip,15-May-2025,16:15:33,30400
stundenwerte_CS_02456_19790101_20050826_hist.zip,15-May-2025,16:15:06,2540811
stundenwerte_CS_02480_20040901_20241231_hist.zip,15-May-2025,16:15:19,30501
stundenwerte_CS_02483_19541207_20241231_hist.zip,15-May-2025,16:15:32,7414886
stundenwerte_CS_02485_20110502_20241231_hist.zip,15-May-2025,16:15:11,2973208
stundenwerte_CS_02486_20050301_20241231_hist.zip,15-May-2025,16:15:30,30083
stundenwerte_CS_02494_19930301_20131020_hist.zip,15-May-2025,16:15:08,4104745
stundenwerte_CS_02497_20040801_20241231_hist.zip,15-May-2025,16:15:32,30450
stundenwerte_CS_02503_19750701_20030502_hist.zip,15-May-2025,16:15:08,176952
stundenwerte_CS_02522_19490101_20081101_hist.zip,15-May-2025,16:15:05,4473445
stundenwerte_CS_02532_19490101_20131101_hist.zip,15-May-2025,16:15:06,4590193
stundenwerte_CS_02542_20040601_20160401_hist.zip,15-May-2025,16:15:05,30768
stundenwerte_CS_02559_19490101_20241231_hist.zip,15-May-2025,16:15:19,6082130
stundenwerte_CS_02564_19790101_20241231_hist.zip,15-May-2025,16:15:33,5219364
stundenwerte_CS_02565_19490101_19881014_hist.zip,15-May-2025,16:15:08,1457154
stundenwerte_CS_02575_20060901_20241231_hist.zip,15-May-2025,16:15:11,22298
stundenwerte_CS_02578_20040701_20241231_hist.zip,15-May-2025,16:15:31,32659
stundenwerte_CS_02597_19490101_20241231_hist.zip,15-May-2025,16:15:20,6641901
stundenwerte_CS_02600_20050301_20241231_hist.zip,15-May-2025,16:15:20,28862
stundenwerte_CS_02601_19490101_20241231_hist.zip,15-May-2025,16:15:29,4286201
stundenwerte_CS_02618_20041001_20241231_hist.zip,15-May-2025,16:15:33,31131
stundenwerte_CS_02627_20040701_20241231_hist.zip,15-May-2025,16:15:28,32867
stundenwerte_CS_02629_20040701_20241231_hist.zip,15-May-2025,16:15:32,32226
stundenwerte_CS_02638_19490101_20241231_hist.zip,15-May-2025,16:15:11,4404755
stundenwerte_CS_02641_20040901_20241231_hist.zip,15-May-2025,16:15:32,31911
stundenwerte_CS_02656_19490524_19891222_hist.zip,15-May-2025,16:15:08,1578760
stundenwerte_CS_02667_19490101_20241231_hist.zip,15-May-2025,16:15:33,11541228
stundenwerte_CS_02680_20050601_20241231_hist.zip,15-May-2025,16:15:20,29409
stundenwerte_CS_02700_20041201_20241231_hist.zip,15-May-2025,16:15:20,30549
stundenwerte_CS_02703_19790101_20001011_hist.zip,15-May-2025,16:15:08,10105
stundenwerte_CS_02704_20040501_20241231_hist.zip,15-May-2025,16:15:33,32788
stundenwerte_CS_02708_20060701_20241231_hist.zip,15-May-2025,16:15:20,25016
stundenwerte_CS_02712_19520101_20241231_hist.zip,15-May-2025,16:15:11,7529636
stundenwerte_CS_02750_20051101_20241231_hist.zip,15-May-2025,16:15:20,25003
stundenwerte_CS_02773_19930301_20241231_hist.zip,15-May-2025,16:15:20,6199220
stundenwerte_CS_02794_19900611_20241231_hist.zip,15-May-2025,16:15:28,3977432
stundenwerte_CS_02796_19911101_20241231_hist.zip,15-May-2025,16:15:31,6895605
stundenwerte_CS_02812_19920801_20241231_hist.zip,15-May-2025,16:15:11,5270793
stundenwerte_CS_02814_20021101_20241231_hist.zip,15-May-2025,16:15:11,38296
stundenwerte_CS_02829_19790101_20180710_hist.zip,15-May-2025,16:15:05,4742482
stundenwerte_CS_02856_20040701_20241231_hist.zip,15-May-2025,16:15:28,30803
stundenwerte_CS_02886_19890412_20241231_hist.zip,15-May-2025,16:15:11,5680430
stundenwerte_CS_02905_19790101_20241231_hist.zip,15-May-2025,16:15:20,5521053
stundenwerte_CS_02907_19790101_20241231_hist.zip,15-May-2025,16:15:33,2759231
stundenwerte_CS_02925_19760401_20241231_hist.zip,15-May-2025,16:15:33,4565330
stundenwerte_CS_02928_19970407_20241231_hist.zip,15-May-2025,16:15:32,3133889
stundenwerte_CS_02932_19750701_20241231_hist.zip,15-May-2025,16:15:32,6714886
stundenwerte_CS_02947_20061001_20241231_hist.zip,15-May-2025,16:15:33,24120
stundenwerte_CS_02951_20040601_20241231_hist.zip,15-May-2025,16:15:28,33031
stundenwerte_CS_02953_20070401_20241231_hist.zip,15-May-2025,16:15:11,20877
stundenwerte_CS_02961_19790101_20241231_hist.zip,15-May-2025,16:15:33,10832
stundenwerte_CS_02985_19910305_20241231_hist.zip,15-May-2025,16:15:33,4025980
stundenwerte_CS_03015_19750701_20241231_hist.zip,15-May-2025,16:15:28,6116486
stundenwerte_CS_03023_19501001_20170101_hist.zip,15-May-2025,16:15:09,6461961
stundenwerte_CS_03028_19710401_20241231_hist.zip,15-May-2025,16:15:33,6020383
stundenwerte_CS_03031_20040701_20241231_hist.zip,15-May-2025,16:15:33,32560
stundenwerte_CS_03032_19490101_20241231_hist.zip,15-May-2025,16:15:33,6673248
stundenwerte_CS_03034_20070101_20241231_hist.zip,15-May-2025,16:15:33,23586
stundenwerte_CS_03042_20080601_20241231_hist.zip,15-May-2025,16:15:29,17929
stundenwerte_CS_03044_20070701_20180601_hist.zip,15-May-2025,16:15:06,19492
stundenwerte_CS_03083_20050101_20241231_hist.zip,15-May-2025,16:15:28,30924
stundenwerte_CS_03085_19490101_19850214_hist.zip,15-May-2025,16:15:08,1420027
stundenwerte_CS_03086_19850215_20241231_hist.zip,15-May-2025,16:15:34,3186103
stundenwerte_CS_03093_19490101_20241231_hist.zip,15-May-2025,16:15:32,4833334
stundenwerte_CS_03097_19880217_19930910_hist.zip,15-May-2025,16:15:08,349362
stundenwerte_CS_03098_19940112_20241231_hist.zip,15-May-2025,16:15:33,4253112
stundenwerte_CS_03126_19750701_20241231_hist.zip,15-May-2025,16:15:33,6499148
stundenwerte_CS_03155_20040801_20241231_hist.zip,15-May-2025,16:15:30,31356
stundenwerte_CS_03158_19900611_20241231_hist.zip,15-May-2025,16:15:28,3826415
stundenwerte_CS_03164_20060701_20241231_hist.zip,15-May-2025,16:15:29,25492
stundenwerte_CS_03166_19900611_20241231_hist.zip,15-May-2025,16:15:33,1278009
stundenwerte_CS_03167_19490101_20241231_hist.zip,15-May-2025,16:15:31,6500577
stundenwerte_CS_03170_19930701_20121221_hist.zip,15-May-2025,16:15:08,341610
stundenwerte_CS_03196_19770420_20241231_hist.zip,15-May-2025,16:15:31,4411621
stundenwerte_CS_03204_20080701_20241231_hist.zip,15-May-2025,16:15:33,16257
stundenwerte_CS_03226_20060801_20241231_hist.zip,15-May-2025,16:15:31,25455
stundenwerte_CS_03231_19790101_20241231_hist.zip,15-May-2025,16:15:32,5046833
stundenwerte_CS_03234_20050201_20241231_hist.zip,15-May-2025,16:15:33,29317
stundenwerte_CS_03244_20090801_20241231_hist.zip,15-May-2025,16:15:20,12294
stundenwerte_CS_03245_19790101_20021120_hist.zip,15-May-2025,16:15:05,1817368
stundenwerte_CS_03246_19930301_20070614_hist.zip,15-May-2025,16:15:08,2647712
stundenwerte_CS_03254_19700401_20241231_hist.zip,15-May-2025,16:15:32,4969577
stundenwerte_CS_03257_20040601_20241231_hist.zip,15-May-2025,16:15:11,33220
stundenwerte_CS_03268_19930301_20241231_hist.zip,15-May-2025,16:15:12,4745899
stundenwerte_CS_03271_20041101_20241231_hist.zip,15-May-2025,16:15:20,31045
stundenwerte_CS_03278_20030101_20241231_hist.zip,15-May-2025,16:15:11,35601
stundenwerte_CS_03284_20050501_20241231_hist.zip,15-May-2025,16:15:29,28837
